DBSN,PID,SSN,AnnotationID,GTA,GTO,Notes,ST,ET,S,G,Len,LTL,Notes
87,60,20,duEl43DGyKy410aEqbHG57qXdPlmqLxU,add,veges,pour veggies in pot,736470,738908,1,1,2.4,,
88,60,21,aMjMqZSiVtYvse42fIWMCwpA55Eq7lWB,on,gas,turn stove on,761874,767854,1,1,6,,
89,60,22,5oy5FQ4QRHTPAYHlKzAHpnkqy2RjxfF7,add,veges,pour pan into pot,792333,795030,1,1,2.7,,
90,60,23,VlX1RKaRt7Ri5e6Fly60fcFKEqS1htvl,add,spice,shake seasoning into pot,808907,811520,1,1,2.6,,
91,60,24,NmYFRySrHLjlFBs8S4O6Csuy5tJGP55Y,mix,veges,stir pot,832447,835696,1,1,3.2,,
92,60,25,1ElsCtP4MpHMCCDUgwYUACseoW7Gc6yy,mix,veges,stir the pot,841882,845179,1,1,3.3,,
93,60,26,8yPk4lzYuUpqkt4bINFRhYj4z0B5WMU9,on,lid,cover pot with lid,866919,869628,1,1,2.7,,
94,60,27,wzYEtlL0ioXo6wK90yeBNiiReUDDp9Qz,off,gas,turn off stove,885372,887704,1,1,2.3,,
95,60,28,wkrUrVFEtOHGPqbm6ugsSmXH68C5LU1f,off,lid,take lid off pot,901161,903458,1,1,2.3,,
96,60,29,1Q0y4F3uTcVkv67Icnd6yBel0nH9w5Fr,fetch,soup,take the ladle,939081,942520,1,1,3.4,,
905,61,0,aUqecVCPpskD7woh3HoACgjzeYHKKMgS,add,oil,boil water,204932,208624,1,1,3.7,,
906,61,1,8yeaSZtCzpbGAlJ7AiWBxA5X7LxeEMtR,on,gas,turn stove on,211307,214865,1,1,3.6,,
907,61,2,v3W45mkE0ldihUD5ZH8sZnEM9TczjEwp,on,gas,turn knob on,219377,223821,1,1,4.4,,
908,61,3,wajBYQ2MraBO5Sd61WKW4lUxQ30DAmtW,on,lid,put lid on pot,231992,236740,1,1,4.7,,
909,61,4,Wk3kENiWk7mPXkBvJcjm2DD4MNy2HC3w,on,lid,"get a lid, put lid on pot",237891,243043,1,1,5.2,,
910,61,5,uQT4FarlBdFwMWTNj8PRZLd765KaBH2p,on,lid,pick up lid,243222,245429,1,1,2.2,,
911,61,6,fdz666SWF09K2g6pU0uxg6T2aP41lOTT,on,lid,put lid on pot,245962,248777,1,1,2.8,,
912,61,7,kgCFxgv4UAheVWIsqqH63ZLkwc5vcoe5,fetch,onion,get onion,257754,260765,1,1,3,,
913,61,8,ZkTJNzFdpwFo1PSP0rzAycCvfoXSV51I,fetch,onion,onion reference,267540,271433,1,1,3.9,,
914,61,9,568ab5d602474860bd74a908c8452b5a,fetch,onion,pick up onion,271525,273000,1,1,1.5,,
915,61,10,8WRZfaJFDddHjpjbHZaSJGpHQ19c1RcC,fetch,carrot,get carrot,288901,291326,1,0,2.4,,
916,61,11,oCEzm6vt9WstKt3S68Hzswu1zGTod2CX,fetch,carrot,pick up carrot,295538,299530,1,1,4,,
917,61,12,XhKTv7nrAygik422cPb8NUhiLueyNvgy,cut,onion,cut onion,312786,315800,1,1,3,,
918,61,13,Ddd2ITNrTFBqeVn2E2jnUeeTQvCjEk65,cut,tomato,cut tomato,328540,331203,1,1,2.7,,
919,61,14,0wr1TUCjZVXcvJS2WKjLOv9qXD9OvHY9,cut,tomato,cut tomato,331722,336101,1,1,4.4,,
920,61,15,qWv92rPXDL3kNjBBeXj11Zi4Xm6tYOaj,cut,tomato,pick up tomato,338254,343730,1,1,5.5,,
921,61,16,8zzrZTW7rKzc2NG2efLBZyjiPNbfJoVe,on,gas,turn on stove,361571,368024,1,1,6.5,,
922,61,17,Fj2JpbV6yPhrf5rYo9TX6zoBU2rOAjtS,on,gas,turn on stove,370864,374133,1,1,3.3,,
923,61,18,28q1okNGrY4zRQUGvdfPLB8liDaOQQkR,add,oil,put oil in pan,384558,388399,1,1,3.8,,
924,61,19,moqDLzlp6ERJlZTa6E7hHgqhi74A2gFj,add,oil,"pick up oil, pour oil in pan",395735,401983,1,1,6.2,,
925,61,20,xj1UHLa82GKyoviraSP5YWLmFRNZhcgl,add,veges,put onions tomatoes in pan,414952,419555,1,1,4.6,,
926,61,21,XwygV9VIt87ZHVopAzOMCiTenvp3GLsW,add,veges,put onions tomatoes in pan,425043,428289,1,1,3.2,,
927,61,22,AHg9f27rqiakYLrquO6e3g40T6BWgSQp,add,veges,dump onions tomatoes in pan,432725,435596,1,1,2.9,,
928,61,23,bldXdJ8QpZbCNrxsGNSc1e6WHGnEo9Gf,add,salt,add salt to pan,446658,450420,1,1,3.8,,
929,61,24,dQ902LuPbeXF7itXW0hg0mEXBunXigiT,add,salt,reference to pouring salt,452628,455963,1,1,3.3,,
930,61,25,SqLT1kVnqsJWvhf5XbWWRTMC6gxTWeUH,add,salt,shaking salt,460017,462814,0,1,2.8,,
931,61,26,svdCtxnf4rTbn3qreF9LhDPHM0cdSzFl,add,pepper,grind pepper in pan,470703,474720,1,1,4,,
932,61,27,ATqy2GVAzK3Jz7FruFd0NCkUmoUWMvvo,add,pepper,grind pepper,478645,481628,1,1,3,,
933,61,28,iXlSJqCAHcWmck4b0lkUnIiPoJdStcuk,mix,veges,stir the pan,497184,501791,1,1,4.6,,
934,61,29,GkFHP548rU3JHERLz59l9DtABYGfeJCl,mix,veges,pick up spatula,504492,509931,1,1,5.4,,
935,61,30,MumW930Nw4i4sSPAIq0rCZwvNzk3CSbK,mix,veges,stir onions and tomatoes,509963,517538,1,1,7.6,,
936,61,31,q2s6dxhgD2SsBMzPu2DvM26ZeFt8f6A3,cut,potato,cut the potato,530367,533284,1,0,2.9,,
937,61,32,yf02ovBqUdVusgikSUm6FiLJyPdopZL4,cut,potato,cut the potato,534832,539542,1,1,4.7,,
938,61,33,uTp0hxi9j5ejTfnhdNFRIqDFHnte5aN2,cut,carrot,cut carrot,555876,560599,1,1,4.7,,
939,61,34,If7vzG77vXaVKCqg0t08Dnz92mayAN90,cut,celery,cut celery,574838,578198,1,1,3.4,,
940,61,35,ZRga9EdzvBDRRmfL54CASgZHNEDHGSra,off,lid,take lid off pot,594837,599053,1,1,4.2,,
941,61,36,ssW5fmQ2wFMNlkh2we4LyTt8yoTzysft,off,lid,remove the lid,600137,603282,1,1,3.1,,
942,61,37,O6DbxsXzSaARpqGX2HCf8OOgLNmGNiK0,add,veges,add veggies to pot,621670,629037,1,1,7.4,,
943,61,38,XbQUL0R4OqPnsWp94uIVGJHX4Bzd6ZDu,add,veges,dump veggies in,636874,639171,1,1,2.3,,
944,61,39,wXuszz5MCjqfdL4ZM3Wv1ujdlTFwFcgX,off,gas,turn off stove,651758,657586,1,1,5.8,,
945,61,40,2odk6cH5Hwvg3TjKg56HE4iJyNUDT3sC,off,gas,turn off stove,659981,664413,1,1,4.4,,
946,61,41,7xTr6uOJt1mB5hc8torTwzTakDWiDcgh,add,veges,add pan to pot,672793,678877,1,1,6.1,,
947,61,42,B02tD0rivU6D0EZxlkD5hBwKxspASjDF,add,veges,pick up pan,681688,685006,1,1,3.3,,
948,61,43,LJUfIosAtwbn2fvzyPUuDV1nyMa10uYd,add,veges,dump pan into pot,686904,689533,1,1,2.6,,
949,61,44,rYPEhqY1JJ3oSLpJUbDMYncAOhWYl1iN,add,spice,add spices to pot,702147,705588,1,1,3.4,,
950,61,45,4cpiZbWWKx2Mp1Rj7HwOLStAg6NbJDog,add,spice,shake spices into pot,706795,714890,1,1,8.1,,
951,61,46,o6T9VDBaQbJ1ZmJepEfDbjiDU072Obfz,mix,veges,stir the pot,732520,735520,1,1,3,,
952,61,47,DyFhTuv9O6y1o5a8SLGsydbzYM7etSjX,mix,veges,"pick up spatula, stir the pot",736698,741763,1,1,5.1,,
953,61,48,Wu9bXN7ZggIhnvwTgxvhNX6xWwYwjCGz,on,lid,put lid on pot,762248,765775,1,1,3.5,,
954,61,49,IckrCZNGoPmfuKzUVMklNMrhNktGSPJE,off,gas,turn off stove,780084,783524,1,1,3.4,,
955,61,50,HgfqUEPMhxuNQGUcGaDURYzCFW88EAh8,off,lid,remove the lid,794962,797903,1,1,2.9,,
956,61,51,ZUJoFUJpsl2osG2SrQF8wzbKUNVWBCQV,fetch,soup,serve soup in bowl,811955,816126,1,1,4.2,,
957,61,52,JXRX3XpmHBUdI4XMONPpH5bSzEpFdG3G,fetch,soup,pick up ladle,826727,829382,1,1,2.7,,
958,61,53,ovNUPt89sWAUCDZJZLtolzeB6EVRrPzo,clean up,,put dishes in sink,860391,863886,1,0,3.5,,
959,61,54,dHwVsBrnYn1qzDZZCD1n43mRNq8ut7G1,clean up,,put bowl in sink,887888,890693,1,1,2.8,,
960,61,55,M1NHGPfrLu1mhsFgANvpxajjmNUYrltN,clean up,,put bowl in sink,893703,897497,1,1,3.8,,
961,61,56,X9Lg4gKsoGnOMJNyB2Th9ZJ81Ymuebej,clean up,,wipe the table,902584,905688,1,1,3.1,,
962,61,57,LMQqXKJlW7Br3w5SgNjT46xdkdM7HZrD,clean up,,wipe the table,908206,913355,1,1,5.1,,
963,62,0,fGZ8wtVMW5pMiogWHeQcAoPo5qSAIlA4,on,gas,turn on stove,201583,204427,1,0,2.8,,
964,62,1,JmOISEg4tLbW9HacmvDuEYYUiQ94JxR5,Turn,gas,go to stove,206513,209347,1,0,2.8,,
965,62,2,bWneltl7Mjq5wvtxCyl61izae2bWfGsv,Turn,gas,go to stove,210025,212993,1,1,3,,
966,62,3,8Us29cQ8VXNho85st9UoWSMR3NSX8hL5,on,gas,turn on stove,215611,218781,1,1,3.2,,
967,62,4,H5WDgzhgC8bkInCozgQ7g2T9ajk5sUJ8,on,lid,put lid on pot,228319,232237,1,1,3.9,,
968,62,5,Ys6mOsYQ9QTWnptVWJn7WLqFIw2nAS2M,Turn,lid,go to stove,232855,235475,1,0,2.6,,
969,62,6,TT4BhAr84ij9JSA4qm3IbnPm7d9LS8Nu,on,lid,pick up lid,237085,239716,1,1,2.6,,
970,62,7,FtGTN3oVZymruqY03ek8DqJuz3nYJ48I,on,lid,put lid on pot,239840,242074,1,1,2.2,,
971,62,8,x6CKXi0JpR0lJzl60I4ufian9mxOqVbJ,fetch,onion,get onion,250446,253486,1,0,3,,
972,62,9,Oivy2dXp1gIN8wviyVuO29wr0Cl019gj,Turn,onion,turn around,255082,258100,1,1,3,,
973,62,10,F6nfp5RdNOAbhJdVJ9WYpEquJMTSVw2N,fetch,onion,grab onion,260293,262311,1,1,2,,
974,62,11,qjkUwqpKfBV5XagqvPeipusDAGisMOxn,fetch,onion,grabbing onion,262929,266580,0,1,3.7,,
975,62,12,EMMU73HiBBySTdCTk1O8wptOtB7JgBgP,fetch,carrot,need carrot,275860,278255,1,0,2.4,,
976,62,13,6EsFnL0L80AXnq1BmCezc2d57B9HtY7E,fetch,carrot,grab carrot,280419,287900,1,1,7.5,,
977,62,14,XJH5lSVFhiMHtVEJzVZEWBpGOsCxRfym,cut,onion,cut onion,294534,298000,1,0,3.5,,
978,62,15,mz4PqTvcau19jMV2OTexj1cU6HL3rUhs,cut,onion,cutting onion,299100,301335,0,1,2.2,,
979,62,16,A8sAHq9qm9PKL2xU983DatndCOr2FOth,cut,tomato,cut tomato,309110,311732,1,0,2.6,,
980,62,17,DYOLo1R1AF9CmKisSW4qA3DzEisVg8ba,cut,tomato,cut tomato,313721,315818,1,0,2.1,,
981,62,18,ql5Csalyx92NOxF9ZtBI6TOwSwFiLh2W,cut,tomato,slice tomato,315983,318349,1,0,2.4,,
982,62,19,qSGmcxNSclDXNxShdZjv7RhQnJRCbTwI,cut,tomato,slice tomato,321543,327131,1,1,5.6,,
983,62,20,HK077hwRUVufVNAbFAMLo3Mk9gls279X,cut,tomato,pick up tomato,329249,331714,1,1,2.5,,
984,62,21,IhcWs5TvA9WdM26Inikj1xHguADKxGxz,cut,tomato,pick up knife,333528,335235,1,1,1.7,,
985,62,22,e034f28eeb194b9f97af53f202e68fb1,cut,tomato,slice tomato,335400,338160,1,1,2.8,,
986,62,23,VSMm2IKPRgPZkF5gOALA6hJaqoOJrHuo,on,gas,turn on stove,350164,353051,1,0,2.9,,
987,62,24,TWJGZBwwql7Dxpugjm6BHV1512Kau31m,on,gas,turn on stove,357243,359304,1,1,2.1,,
988,62,25,VdRoazXveicjmuXGkanO2BtHSf1LPDMA,on,gas,turn on stove,361062,364851,1,1,3.8,,
989,62,26,fIeYWe3oCRNZjwa0NZCzDYuF9NOmbz58,add,oil,put oil in pan,374195,377336,1,0,3.1,,
990,62,27,TMt96DHS4IO39hHr6oaHWFkBRlQ8sY5s,add,oil,grab the oil,380199,383024,1,1,2.8,,
991,62,28,IcesNWGxbJS3XTHYejEmU7lExzsa8mCH,add,oil,put oil in pan,384640,386875,1,1,2.2,,
992,62,29,PLmWURgYBwInd8EgXVpGDBS3XN1EVBlt,add,veges,put onions tomatoes in pan,395595,400223,1,0,4.6,,
993,62,30,dWWxhQekwPrxaRzvpQPWV6dSLEwz8Nlv,add,veges,"pick up board, take to pan",402932,406725,1,1,3.8,,
994,62,31,7iLJshFLGVQasa6JqmkhGW2uRwTDBNDK,add,veges,put onions tomatoes in pan,409609,412364,1,1,2.8,,
995,62,32,xxy8XWs8jYAOq5aefyV0eH8lFletRF8g,add,salt,put salt,423275,426865,1,0,3.6,,
996,62,33,9OwbGxKMkcH4iHrg2wiqBKyULt38kxVx,add,salt,put salt in pan,430388,433970,1,1,3.6,,
997,62,34,18IsToMDeqVK39ybYB0azLmMZuPh2OoZ,add,salt,grab seasoning,434861,438531,1,1,3.7,,
998,62,35,HKHGCYr7m5FLNCfYVATHV2W05GGDyeQy,add,salt,grab salt,438562,441853,1,1,3.3,,
999,62,36,dh84WDZLI0WgTGTgOPUoW1aUvF5wiHGC,add,salt,put seasoning in pan,442790,445113,1,1,2.3,,
1000,62,37,UT7ZGt92wrpZj0HfkVnpnrKqWpqIKW4K,add,pepper,add pepper,454703,457332,1,0,2.6,,
1001,62,38,XhmTLJlYpv6P1Tfwj1tIeMjoJMCCoQqd,add,pepper,grab pepper,460060,464043,1,1,4,,
1002,62,39,pIhwr3hQKA59UjlCmqwcwHPmmivb8IGE,add,pepper,put pepper in pan,464287,466269,1,1,2,,
1003,62,40,Zh9egKwyYTDy0QEN2kOR1nPAjJAGmMKh,mix,veges,stir pan,476462,479553,1,0,3.1,,
1004,62,41,PSRjDFREhOy31Lo8wJENEvm7RFOKIV7s,mix,veges,grab spoon,482323,485247,1,1,2.9,,
1005,62,42,xZM2dNvM5tNUt1oHGKx5gxBdofp0PafG,mix,veges,stir pan,487653,491527,1,1,3.9,,
1006,62,43,uRnoctp5N8ZaKvVGYtBNHRtlYthKCpxe,cut,potato,cut potato,506414,509334,1,0,2.9,,
1007,62,44,iD4pX4QaXmRiyEW2iaVTvBaKuAw6hInx,cut,potato,slice potato,510332,514030,1,1,3.7,,
1008,62,45,5GjUlIAcnbSrG6sGacF48odlYQ20uAsY,cut,potato,grab potato,514479,518054,1,1,3.6,,
1009,62,46,5P0BFTVALEJbJov9wTtsWlIiQocJ1SKn,cut,potato,"grab knife, cut potato",518793,523298,1,1,4.5,,
1010,62,47,TKg3Y1GYYlxyHEdhLWZo8Eu70cNFollC,cut,carrot,cut carrot,530571,533282,1,0,2.7,,
1011,62,48,GTz7AO4ebvjapyUnZ7RrwvgDznMth7r6,cut,carrot,"about to cut carrot, cancels in way as Baxter already is doing it",534575,536781,0,1,2.2,,
1012,62,49,Bfzgqn8rU3oim5MMd1CYQwnFUCaPjAd3,cut,celery,cut celery,547985,550715,1,0,2.7,,
1013,62,50,i8eEiK1CuDfXCLK0E4xX94N1i2ja21d9,off,lid,take lid off pot,566342,570326,1,1,4,,
1014,62,51,zbECZKwUO52Env9eEu45ysAngdaRgoxO,off,lid,pick up lid,573058,575554,1,1,2.5,,
1015,62,52,7gcuJplMowvNz0blvOxyJoPtYZDjK4r7,off,lid,take lid off pot,577867,580040,1,1,2.2,,
1016,62,53,E4qxvfXZHwjqyy1L0DTSgkodZiQymKmb,add,veges,add veggies to pot,589236,594882,1,0,5.6,,
1017,62,54,g1TMgItor4qPujSpEMSTS4gMGQHv6Szd,add,veges,put veggies in pot,603872,606760,1,1,2.9,,
1018,62,55,rReY13EeEPogpNeJrom3F3HtVwcE1nP9,off,gas,turn up pan temp,620417,627111,1,0,6.7,,
1019,62,56,MHCIxSMAKKBqXyZzX3n3GpKshifcvJsr,off,gas,turn up pan temp,631084,633747,1,1,2.7,,
1020,62,57,VDl4tjjOSbBhf2KAx61d2B4s3uv8fkU4,add,veges,put pan veggies in pot,643694,647720,1,1,4,,
1021,62,58,45iBcLjN9TPCa1RMFZeFIytqQYcRtwGw,add,veges,put veggies in pot,651082,654090,1,1,3,,
1022,62,59,9PBb6WUo1SDqyflSdXKHu5waEIYYVpcN,add,spice,add seasoning to pot,665527,669044,1,1,3.5,,
1023,62,60,yxfqaPlglKYGSOz5Z2wyX4tDNzAdzxPO,add,spice,pick up seasoning,671994,674912,1,1,2.9,,
1024,62,61,U0EYRRtagf4GqA06FqJCNdqYdoTmPD5N,add,spice,put seasoning in pot,676070,678069,1,1,2,,
1025,62,62,Ni1U33gllpdiSpdaHGQ1EejFjbz43Kaz,mix,soup,stir pot,694302,696893,1,1,2.6,,
1026,62,63,UbDH3C2WbZM9Vn7E1LWI0U44slncMIsh,mix,soup,mix pot,697623,700796,1,1,3.2,,
1027,62,64,FDZUp3X2i83axwUay1elSL9x6ZB2VyP4,on,lid,put lid on pot,720669,723730,1,1,3.1,,
1028,62,65,OMesL2SmDqHccQRpOu37oOLoVANq5Ead,off,gas,turn up stove temp,741226,746147,1,0,4.9,,
1029,62,66,vHJHVCW8cGeFZo3bX2pxqpekLxRF6HJf,off,lid,take lid off pot,757494,760330,1,0,2.8,,
1030,62,67,O75aWrvtP03LIBQc2hrv5xyNtplkryFO,fetch,soup,put soup in bowl,774195,778865,1,1,4.7,,
1031,62,68,JpSF7jTWDOHPlSRQFtYGEaOO7u6GUG6P,fetch,soup,"take bowl, take ladle, put soup in bowl",783163,791146,1,1,8,,
1032,62,69,OuX8SmlGPmByGbw3pTuUGpZi55aXL8O4,clean up,,"take pot off stove, put pot in sink",816735,822162,1,1,5.4,,
1033,62,70,nW5AqISuZXlcznLuyvzNb6xSzIDha0Cq,clean up,,take ladle,841527,848014,1,1,6.5,,
1034,62,71,4u6yFnt5QseWl21DO5XSY3BKPilAVnER,clean up,,wipe counter,849878,852783,1,1,2.9,,
1035,62,72,PxnZQT2up4SX3BBmO2cVrJBMaVodp5Jc,clean up,,wipe counter,856830,860572,1,1,3.7,,
1036,63,0,khSIr3p6IAIT7MbAPrWjsifq8jKP8zvW,on,gas,turn on stove,396491,399375,1,0,2.9,,
1037,63,1,zosLnJuYo0hWAowyJePViVOWEHjeMC4W,Turn,gas,turn around,407538,412662,1,1,5.1,,
1038,63,2,IHJgigN9aVVqqSogzR3fjeTZMNo5Azh3,on,gas,turn on stove,413310,416462,1,1,3.2,,
1039,63,3,25JfGLq5cJ7llVMePLIHGF3oVtF6XAzd,on,lid,put lid on pot,429739,432524,1,0,2.8,,
1040,63,4,No3kYNseui6SbLmuQ3nNsRqiF1sdtq3J,Turn,lid,turn around,435273,437685,1,1,2.4,,
1041,63,5,AMNX47tFfFt6GN7wUn88BNaa9hjfU15F,on,lid,put lid on pot,437993,441328,1,1,3.3,,
1042,63,6,Uz2N3oJgTEOyEbtGfOzJVzRgVnh9rU6N,fetch,onion,put onion on board,454801,459062,1,0,4.3,,
1043,63,7,feXpJ2Qtn6wOueuoF1MZdxWP2Mq8tI4v,Turn,onion,turn around,460549,462501,1,1,2,,
1044,63,8,9hnPWSMb1qVRhOs3Smwmqn9uLJLyNmP1,fetch,onion,"pick up onion, put onion on bard",465707,471209,1,0,5.5,,
1045,63,9,sqknpffJmfKdoYGlH1WfwUb03AADGHCm,fetch,onion,pick up onion,473993,476804,1,1,2.8,,
1046,63,10,dGC0MaEYmz3jxVArN8BMsVH0FaDThld7,fetch,carrot,get carrot,493515,497625,1,0,4.1,,
1047,63,11,RV7720cVPn1Z3GIbrpontyTv67bGj5UF,fetch,carrot,pick up carrot,503150,505411,1,0,2.3,,
1048,63,12,ihe9qpi2XB68HZI3h0PGBJsXWPjeqZVc,fetch,carrot,"pick up carrot, put carrot on board",507456,512519,1,1,5.1,,
1049,63,13,7SwuoOARB9FHnHCqa7Qki6tKpyQzLeW9,cut,onion,cut onion,524399,527118,1,0,2.7,,
1050,63,14,iIHU8L6eMy0nh4jTL0DphyPRuGlyXyqE,cut,tomato,cut tomato,541138,543958,1,0,2.8,,
1051,63,15,MwESEzvF6wgFzMzo8YU9RIucwYrCh9D5,cut,tomato,pick up tomato,547908,551640,1,1,3.7,,
1052,63,16,Gi5UFB07KEPrWNvjnwNym0AN0lOCDyeK,cut,tomato,cut the tomato,554634,559742,1,1,5.1,,
1053,63,17,Yx6mY4mJmkDmgVtf204ikLklqvw4qPDC,cut,tomato,pick tomato up,564909,569173,1,1,4.3,,
1054,63,18,cB0F03KZQJ27QmQ5BIJMMyQEQAH9rNzB,cut,tomato,cut tomato,569985,572921,1,1,2.9,,
1055,63,19,ETphibipwMPOl02U02Bol99UI3l8h8ch,Turn,gas,turn around,585170,591616,1,0,6.4,,
1056,63,20,5Fa7dSdBxVFypjGmFmuh2AT2cxV9xfBS,on,gas,turn on stove,594342,597514,1,0,3.2,,
1057,63,21,L6U3DzKJuj13TURNkAuSB9rEexGykpjQ,add,oil,pour oil in pan,607769,611037,1,0,3.3,,
1058,63,22,K2BFadqZHAesHMB7HY7VyMaa71WhzZnP,add,oil,pour oil in pan,616758,621049,1,1,4.3,,
1059,63,23,XkleNfqpLfkA9pC5z1Q4Ppm4AlFg6dRL,add,veges,put veggies in pan,632173,639685,1,1,7.5,,
1060,63,24,9Pmpub3vBFpp5SrvGz9l8GXRFmgyb2ST,add,veges,"turn around, put veggies in pan",647076,651932,1,1,4.9,,
1061,63,25,FnXlEhoeuPDA07hr9KlODW8Oy4gjjtQl,add,veges,put veggies in pan,653743,657026,1,1,3.3,,
1062,63,26,UONis59uB6c0LOmxJJgfN1Bo16RznGHA,add,salt,put salt in pan,670266,675045,1,1,4.8,,
1063,63,27,lHkaBq7TzDUa2yrfobWMtVlAYiD48x4S,add,salt,put salt,678767,681632,1,1,2.9,,
1064,63,28,6fVpRg39ARwfslc4uQcoDG2A1oqxRp8N,add,pepper,put pepper,696392,698949,1,0,2.6,,
1065,63,29,LwWt2bIIFSVOLPcN9hgZCiVEORMcSdWO,add,pepper,put pepper in pan,703626,705994,1,1,2.4,,
1066,63,30,4BPMMzcsj16tIcFYBRE998HT73v8GXyt,mix,veges,stir veggies,721240,724593,1,0,3.4,,
1067,63,31,SNGW1k4NM3CeKj8CWxWkUL8HmVL6e75Z,mix,veges,stir veggies with spoon,728260,733723,1,1,5.5,,
1068,63,32,kC7ZfkZLrrbuN6jzby1ajBwh2EhatBBI,cut,potato,cut potato,754505,758700,1,1,4.2,,
1069,63,33,UMK8wumcpoh1AOvUcNzKRwinY4FK6BvP,cut,potato,pick up potato,761557,764267,1,1,2.7,,
1070,63,34,X4OCgaUNNXIhjOEd4V8Kzj7DmPbiipik,cut,potato,pick up potato,766463,770189,1,1,3.7,,
1071,63,35,vv3pizUAJooi5VnKwcvykjSuLBDJenxb,cut,carrot,cut carrot,789362,791641,1,0,2.3,,
1072,63,36,V8sDjBzQcb0zoG1twHHMnPCV1FzJ1ePL,cut,carrot,cut carrot,796360,800931,1,1,4.6,,
1073,63,37,koZbNwfOIPotRe8ltfngPOz7BFBpoO8t,cut,celery,cut celery,824246,826680,1,1,2.4,,
1074,63,38,CH30zwRyRRui391933Q2goVucdlQ4Y21,cut,celery,pick up celery,829808,832194,1,1,2.4,,
1075,63,39,3laAkZkOOJ0IvxQg6iFaFsAhoo22vB6O,cut,celery,cut celery,833183,835459,1,1,2.3,,
1076,63,40,ElCmZLnSSF16iEEcZ37o3kHhyeSBKcM1,off,lid,take lid off pot,853816,858099,1,0,4.3,,
1077,63,41,wA8srFmlN8FcH50VHf386z14uaOXRAa8,off,lid,take off lid,864062,866376,1,0,2.3,,
1078,63,42,15cQPMG12nGxZ5HR4gj33XUYa68CLX4o,off,lid,take off lid,869018,872262,1,1,3.2,,
1079,63,43,aCBsUZrcoqguyOHoWB6TIKqpuw8AMSaC,add,veges,pour veggies in pot,884527,889157,1,1,4.6,,
1080,63,44,b6yBnr86rw989mjgywBBFydzQltkQw1J,add,veges,put veggies in pot,901749,905107,1,1,3.4,,
1081,63,45,H75hDJxxjVbjLVu86dsJqIERfw0cZPsR,on,gas,turn on stove,923918,927401,1,0,3.5,,
1082,63,46,1HbmsOlYZHM6rwHSd1dtCu8UR7UzCsZB,off,gas,turn off stove,927983,930390,1,0,2.4,,
1083,63,47,n9NrB2IeqUIpSlhHwNSgWODziPQdBx7k,off,gas,turn stove off,941612,944093,1,0,2.5,,
1084,63,48,dIF6jP9lNu3iy1JpWtrsKjdhba0hIxGh,off,gas,turn stove off,973468,976413,1,1,2.9,,
1085,63,49,lx0AcNKxb7hVvHwob8Ygl3gw5QsPJwdO,add,veges,put veggies in pot,988831,995327,1,1,6.5,,
1086,63,50,qUzRgwAm1eDrQ8A8B5ukZUatzsI91Mwb,add,veges,put veggies in pot,999389,1004313,1,1,4.9,,
1087,63,51,0KhovNeDrWmqH5ffPDvVszhWuucMmhmF,add,spice,put in pepper,1020328,1024176,1,1,3.8,,
1088,63,52,djOHaygZM42OmbnnrrdzWDqXeWPCmG9J,add,spice,put pepper in pot,1027851,1031031,1,1,3.2,,
1089,63,53,D0g95AA0W4RVWH6m9wZeJbeoBMDKnhU5,add,spice,put spices in pot,1032679,1037496,1,1,4.8,,
1090,63,54,lqifXyOG44x5MCQGtsRyLqijJcNPwTXW,mix,soup,stir the soup,1055916,1059055,1,1,3.1,,
1091,63,55,YDKKLuYZA9ReaEIMNRi4XMXIv5JdOAwq,Turn,soup,turn around,1060696,1062463,1,1,1.8,,
1092,63,56,tlbAS5nUnnKO3gi6eIb4ifkKwudZ3EyH,Turn,soup,turn around,1064051,1067226,1,1,3.2,,
1093,63,57,FwWHdh1LiyMJ1xjxsgmas0F9e369FZ4k,on,lid,put lid on pot,1087652,1091776,1,1,4.1,,
1094,63,58,8v871ZST3zbEJbfftOUqHd5JIzFRngf4,off,gas,turn stove off,1105260,1107663,1,1,2.4,,
1095,63,59,cQX1g0rXYfC8cQ1BN59Xnb3kmZlUnkGs,off,lid,take lid off pot,1120548,1124816,1,1,4.3,,
1096,63,60,3arLh5r5ntkkqYuhA1EyAxcxG1zGcrcb,fetch,soup,pour soup in bowl,1137040,1142116,1,1,5.1,,
1097,63,61,wZbodpjl597vcqYM5SvfOsrxC39v1mIG,fetch,soup,put soup in bowl,1154823,1158515,1,1,3.7,,
1098,63,62,gdAhgxYAKA4ZBgXpTFCSP9g5RWz4cwDg,clean up,,put pot in sink,1183446,1187659,1,1,4.2,,
1099,63,63,o9pNSl3wRx7QZlK4tWtegljbnDHRad9A,clean up,,put spoons in sink,1213183,1216447,1,1,3.3,,
1100,63,64,ffIvum6Cv7cKN0BfVKCp7dgtzgwBHVNw,clean up,,put dishes in sink,1220169,1224392,1,1,4.2,,
1101,63,65,vFaTralx6BJj3mW1D2L87qTqPx0gESkV,Turn,,turn around,1229167,1231331,1,1,2.2,,
1102,64,0,2xDEgDcjRwDPq3wt0uFnW2hHGpzJWkAA,on,gas,turn on stove,205182,207610,1,1,2.4,,
1103,64,1,fxkcp0E3M4esccKSW5di9TlshYzAekFm,on,gas,turn right,208695,211662,1,1,3,,
1104,64,2,XJowxU49iaEIXlCHsHEh8n1TxjVg69vb,on,gas,turn on stove,212016,214086,1,1,2.1,,
